Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp;age
202100015656;230 233;173 683;B01;1;1;4;1;2007.0;0;2;0;-1;-1; -1;-1;15.0
202100015656;230 234;173 684;A01;1;1;1;2;1976.0;1;1;0;-1;-1; -1;-1;46.0
202100015671;230 201;173 656;A01;1;1;1;1;1999.0;3;9;-1;-1;0;0;-1;23.0
202100015671;230 202;173 657;B01;1;1;3;1;1945.0;5;2;-1;-1;0;0;-1;77.0
202100015676;230 185;173 647;A01;1;1;3;1;1977.0;5;2;-1;-1;0;0;-1;45.0
202100015687;230 161;173 627;A01;1;1;1;1;1999.0;5;1;-1;-1;0;0;-1;23.0
202100015687;230 162;173 628;B01;1;1;3;1;2003.0;5;0;-1;-1;0;0;-1;19.0
202100015704;230 122;173 601;C01;1;1;1;1;1989.0;0;1;-1;-1;0;0;-1;33.0
202100015704;230 123;173 602;B01;1;1;3;1;1969.0;1;0;-1;-1;0;0;-1;53.0
202100015704;230 124;173 603;A01;1;1;1;1;1977.0;1;2;6;9;0;0;-1;45.0
202100015744;230 015;173 525;A01;1;1;4;2;1999.0;1;2;0;-1;0;0;-1;23.0
202100015746;230 011;173 522;B01;1;1;1;1;1999.0;4;2;0;-1;0;0;-1;23.0
202100015746;230 012;173 523;A01;1;1;4;1;1975.0;1;2;0;-1;0;0;-1;47.0
202100015749;230 005;173 518;A01;1;1;1;1;2004.0;2;2;0;-1;0;0;-1;18.0
202100015749;230 006;173 518;A01;10;3;4;1;1968.0;1;0;-1;-1;5;1;2;54.0
202100015758;229 987;173 501;A01;1;1;1;1;1980.0;1;2;0;-1;-1; -1;-1;42.0
202100015758;229 988;173 502;B01;1;1;4;1;1976.0;1;2;0;-1;-1; -1;-1;46.0
202100015769;229 963;173 481;A01;1;1;1;1;1992.0;0;1;0;-1;-1; -1;-1;30.0
202100015769;229 964;173 482;B01;1;1;4;1;1986.0;0;8;0;-1;-1; -1;-1;36.0
202100015775;229 951;173 471;A01;1;1;4;2;1971.0;2;2;0;-1;-1; -1;-1;51.0
202100015775;229 952;173 472;B01;1;1;1;2;1973.0;1;1;0;-1;-1; -1;-1;49.0
202100015784;229 929;173 457;A01;1;1;1;1;1961.0;0;1;8;-1;-1; -1;-1;61.0
202100015784;229 930;173 458;B01;1;1;4;1;1965.0;5;2;6;-1;-1; -1;-1;57.0
202100015794;229 908;173 438;A01;1;1;2;1;1940.0;3;0;-1;-1;0;0;-1;82.0
202100015794;229 909;173 439;B01;1;1;1;1;1982.0;5;1;-1;-1;0;0;-1;40.0
202100015822;229 838;173 391;B01;1;1;3;1;1946.0;5;2;-1;-1;0;0;-1;76.0
202100015822;229 839;173 392;A01;1;1;1;1;1958.0;1;1;-1;-1;0;0;-1;64.0
202100015835;229 812;173 368;B01;1;1;3;1;1960.0;5;2;-1;-1;0;0;-1;62.0
202100015835;229 813;173 369;A01;1;1;1;1;1967.0;5;1;-1;-1;0;0;-1;55.0
202100015877;229 719;173 297;A01;1;1;4;1;2005.0;0;8;0;-1;-1; -1;-1;17.0
202100015877;229 720;173 298;B01;1;1;1;1;1987.0;0;1;0;-1;-1; -1;-1;35.0
