Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202300024749;13;11;2023;07:40;2;63;63300;1;9;1;3;RD227 / chemin des PÃªchers;45,90778000;3,09437000
202300024751;19;12;2023;15:30;1;10;10387;2;1;1;7;TURENNE (RUE DE);48,29423000;4,07262000
202300024768;13;11;2023;18:40;5;56;56121;2;6;8;3;FAOUEDIC ( AVE DU );47,74780000; -3,36494000
202300024771;14;11;2023;18:50;5;54;54395;2;1;2;3;Rue Saint-LÃ©on;48,68841000;6,17341000
202300024776;19;12;2023;19:35;5;75;75106;2;1;2;3;RUE DE RENNES;48,84523100;2,32521700
202300024786;14;11;2023;08:00;2;51;51454;2;2;8;3;HOURLIER (RUE LEON);49,26516600;4,02896300
202300024794;19;12;2023;12:35;1;75;75115;2;1;1;5;RUE DE LA CROIX NIVERT;48,84046900;2,29075100
202300024799;19;12;2023;12:05;1;75;75115;2;3;1;3;RUE LINOIS;48,84852800;2,28285800
202300024820;11;9;2023;16:30;1;86;86294;2;2;1;3;Place Francois Albert;46,63895600;0,16551100
202300024827;11;9;2023;19:50;2;60;60015;2;6;1;7;Rue Roger Salengro;49,32550000;2,32547000
202300024837;11;9;2023;13:45;1;59;59034;2;1;1;3;Rue du Croquet;50,52291900;3,08709100
202300024841;19;12;2023;08:45;1;92;92046;2;1;8;6;PIERRE BROSSOLETTE;48,81821680;2,30856478
202300024851;14;11;2023;19:02;2;33;33281;2;6;2;3;Avenue de Bourranville;44,84340713; -0,63200891
202300024858;14;11;2023;10:00;1;33;33529;2;1;1;3;MARIOLAN (CH. DE);44,64736900; -1,15613400
202300024862;13;11;2023;22:20;5;29;29019;2;6;1;3;place Albert Premier;48,39813800; -4,48901900
202300024865;13;11;2023;07:40;5;29;29019;2;8;3;3;rue Dupuy de Lome;48,38896900; -4,51488700
202300024874;28;6;2023;17:54;1;74;74010;1;1;1;7;Route de cuvat;45,95960100;6,11847300
202300024888;9;11;2023;18:25;3;17;17306;2;9;2;3;HEDDE (AVENUE DANIEL);45,63186000; -1,03194000
202300024898;17;6;2023;11:53;1;74;74136;1;1;1;1;Route de la colombiÃ¨re;45,97620000;6,46509500
202300024902;12;6;2023;10:40;1;74;74147;2;9;1;3;Route du bout du lac_;45,79144500;6,21331600
202300024919;19;12;2023;11:15;1;71;71240;1;1;8;2;RD 980;46,41074500;4,65850400
202300024929;10;9;2023;17:00;1;69;69266;2;4;1;4;Rue du 4 AoÃ»t 1789;45,76607000;4,90163000
202300024946;4;9;2023;15:00;1;44;44055;2;1;1;3;26 Boulevard du Docteur RenÃ© Dubois;47,28092000; -2,38372000
202300024956;20;12;2023;13:50;1;29;29005;1;1;2;2;Beg Saint Ouarneau;47,84847512; -3,62487573
202300024992;18;12;2023;08:00;2;69;69383;2;2;8;3;Avenue FÃ©lix Faure;45,75290000;4,85358000
202300024994;18;12;2023;11:45;1;69;69389;2;1;1;3;25 Rue JoannÃ¨s Carret;45,79245000;4,81814000
202300024996;18;12;2023;08:10;1;2B;2B033;2;9;7;3;CIMETIERE;42,69000000;9,45000000
202300025020;18;12;2023;08:40;1;64;64445;2;2;2;3;BAREGES DE;43,29424000; -0,35901000
202300025032;13;12;2023;15:50;1;42;42187;2;1;2;-1;D207;46,03305000;4,07884000
202300025033;18;12;2023;07:35;2;37;37195;2;6;1;3;;47,38660000;0,65086000
